Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Severe acute respiratory syndrome-related coronavirus isolate H_SC_09 genome assembly, complete genome: monopartite",Severe acute respiratory syndrome-related coronavirus,34611,53087,98%,0,99.94,29903,HG994858.1
"Severe acute respiratory syndrome-related coronavirus isolate H_SC_10 genome assembly, complete genome: monopartite",Severe acute respiratory syndrome-related coronavirus,34607,53090,98%,0,99.93,29903,HG994859.1
"Severe acute respiratory syndrome-related coronavirus isolate H_SC_07 genome assembly, complete genome: monopartite",Severe acute respiratory syndrome-related coronavirus,34606,51842,96%,0,99.93,29903,HG994856.1
"Severe acute respiratory syndrome-related coronavirus isolate H_SC_02 genome assembly, complete genome: monopartite",Severe acute respiratory syndrome-related coronavirus,34579,51802,96%,0,99.9,29901,HG994853.1
"Pangolin coronavirus isolate PCoV_GX-P5L, complete genome",Pangolin coronavirus,34178,34178,99%,0,85.46,29806,MT040335.1
"Pangolin coronavirus isolate PCoV_GX-P4L, complete genome",Pangolin coronavirus,34166,34166,99%,0,85.46,29805,MT040333.1
"Pangolin coronavirus isolate PCoV_GX-P1E, complete genome",Pangolin coronavirus,34147,34147,99%,0,85.44,29801,MT040334.1
"Pangolin coronavirus isolate PCoV_GX-P2V, complete genome",Pangolin coronavirus,34136,34136,99%,0,85.42,29795,MT072864.1
"Pangolin coronavirus isolate PCoV_GX-P5E, complete genome",Pangolin coronavirus,34128,34128,99%,0,85.42,29802,MT040336.1
"Bat coronavirus RacCS264, partial genome",Bat coronavirus RacCS264,33347,42617,94%,0,94.3,29820,MW251311.1
"Bat coronavirus RacCS203, complete genome",Bat coronavirus RacCS203,33347,42993,96%,0,94.3,29832,MW251308.1
"Bat coronavirus RacCS253, partial genome",Bat coronavirus RacCS253,33342,42720,94%,0,94.29,29820,MW251310.1
"Bat coronavirus RacCS224, partial genome",Bat coronavirus RacCS224,33342,42675,93%,0,94.29,29820,MW251309.1
"Bat coronavirus RacCS271, partial genome",Bat coronavirus RacCS271,33341,42717,94%,0,94.28,29820,MW251312.1
"Bat coronavirus isolate PrC31, complete genome",Bat coronavirus,32073,41673,99%,0,91.18,29765,MW703458.1
"Bat SARS-like coronavirus isolate bat-SL-CoVZC45, complete genome",Bat SARS-like coronavirus,28811,37654,99%,0,87.99,29802,MG772933.1
"Bat SARS-like coronavirus isolate Rs4231, complete genome",Bat SARS-like coronavirus,24548,26524,99%,0,80.7,29782,KY417146.1
"Bat SARS-like coronavirus isolate bat-SL-CoVZXC21, complete genome",Bat SARS-like coronavirus,23953,37543,98%,0,87.23,29732,MG772934.1
"SARS coronavirus ZS-C, complete genome",SARS coronavirus ZS-C,22341,26553,98%,0,80.3,29647,AY395003.1
"SARS coronavirus ZS-B, complete genome",SARS coronavirus ZS-B,22341,26585,98%,0,80.3,29683,AY394996.1
"SARS coronavirus SZ16, complete genome",Civet SARS CoV SZ16/2003,22325,26512,98%,0,80.28,29731,AY304488.1
"SARS coronavirus GZ02, complete genome",SARS coronavirus GZ02,22323,26531,98%,0,80.29,29760,AY390556.1
"SARS coronavirus CUHK-W1, complete genome",SARS coronavirus CUHK-W1,22318,26562,98%,0,80.28,29736,AY278554.2
"SARS coronavirus SZ3, complete genome",Civet SARS CoV SZ3/2003,22311,26512,98%,0,80.27,29741,AY304486.1
"SARS coronavirus BJ202, complete genome",SARS coronavirus BJ202,22309,26567,98%,0,80.28,29751,AY864806.1
"SARS coronavirus ZJ02, complete genome",SARS coronavirus ZJ02,22305,26526,98%,0,80.28,29731,EU371559.1
"SARS coronavirus HZS2-Fc, complete genome",SARS coronavirus HZS2-Fc,22305,26549,98%,0,80.27,29736,AY394991.1
"SARS coronavirus HZS2-Fb, complete genome",SARS coronavirus HZS2-Fb,22305,26533,98%,0,80.27,29709,AY394987.1
"SARS coronavirus Urbani, complete genome",SARS coronavirus Urbani,22300,26515,98%,0,80.27,29727,AY278741.1
"SARS coronavirus Sin850, complete genome",SARS coronavirus Sin850,22300,26500,98%,0,80.27,29720,AY559096.1
"SARS coronavirus Sin845, complete genome",SARS coronavirus Sin845,22300,26493,98%,0,80.27,29712,AY559093.1
"SARS coronavirus TWY genomic RNA, complete genome",SARS coronavirus TWY,22300,26515,98%,0,80.27,29727,AP006561.1
"SARS coronavirus strain CV7, complete genome",Severe acute respiratory syndrome-related coronavirus,22296,26553,98%,0,80.27,29751,DQ898174.1
"SARS Coronavirus CDC#200301157, complete genome",SARS Coronavirus CDC#200301157,22296,26510,98%,0,80.27,29727,AY714217.1
"SARS coronavirus Tor2 isolate Tor2/FP1-10895, complete genome",SARS coronavirus Tor2,22295,26409,98%,0,80.26,29646,JX163928.1
"SARS coronavirus Tor2 isolate Tor2/FP1-10912, complete genome",SARS coronavirus Tor2,22295,26409,98%,0,80.26,29646,JX163926.1
"SARS coronavirus Tor2 isolate Tor2/FP1-10851, complete genome",SARS coronavirus Tor2,22293,26407,98%,0,80.27,29646,JX163924.1
"SARS coronavirus HKU-39849 isolate UOB, complete genome",SARS coronavirus HKU-39849,22291,26506,98%,0,80.26,29727,JQ316196.1
"SARS coronavirus Tor2 isolate Tor2/FP1-10851, complete genome",SARS coronavirus Tor2,22290,26404,98%,0,80.26,29646,JX163927.1
"SARS coronavirus Tor2 isolate Tor2/FP1-10912, complete genome",SARS coronavirus Tor2,22290,26404,98%,0,80.26,29646,JX163923.1
"SARS coronavirus Tor2 isolate Tor2/FP1-10895, complete genome",SARS coronavirus Tor2,22289,26403,98%,0,80.25,29646,JX163925.1
"SARS coronavirus Sino3-11, complete genome",SARS coronavirus Sino3-11,22287,26528,98%,0,80.26,29740,AY485278.1
"SARS coronavirus P2, complete genome",SARS coronavirus P2,22284,26435,98%,0,80.26,29682,FJ882963.1
"SARS coronavirus BJ182-8, complete genome",SARS coronavirus BJ182-8,22260,26477,98%,0,80.24,29602,EU371563.1
"SARS coronavirus BJ182b, complete genome",SARS coronavirus BJ182b,22260,26477,98%,0,80.24,29602,EU371561.1
"SARS coronavirus BJ182a, complete genome",SARS coronavirus BJ182a,22260,26477,98%,0,80.24,29731,EU371560.1
"SARS coronavirus BJ182-4, complete genome",SARS coronavirus BJ182-4,22251,26468,98%,0,80.23,29602,EU371562.1
"SARS coronavirus BJ182-12, complete genome",SARS coronavirus BJ182-12,22244,26457,98%,0,80.25,29512,EU371564.1
"Coronavirus BtRs-BetaCoV/YN2018B, complete genome",Coronavirus BtRs-BetaCoV/YN2018B,21788,26598,99%,0,80.31,30256,MK211376.1
"SARS-like coronavirus WIV16, complete genome",SARS-like coronavirus WIV16,21776,26529,99%,0,80.27,30290,KT444582.1
"Severe acute respiratory syndrome-related coronavirus isolate H_SC_11 genome assembly, complete genome: monopartite",Severe acute respiratory syndrome-related coronavirus,18171,50257,93%,0,99.93,29903,HG994860.1
"BtRs-BetaCoV/YN2013, complete genome",BtRs-BetaCoV/YN2013,17582,25739,94%,0,81.07,29142,KJ473816.1
"Severe acute respiratory syndrome-related coronavirus Rc-o319 RNA, complete genome",Severe acute respiratory syndrome-related coronavirus,17559,27374,95%,0,81.45,29718,LC556375.1
"Bat SARS-like coronavirus isolate Rs4237, complete genome",Bat SARS-like coronavirus,17518,26699,96%,0,81.45,29741,KY417147.1
"Coronavirus BtRs-BetaCoV/YN2018C, complete genome",Coronavirus BtRs-BetaCoV/YN2018C,17514,26500,96%,0,81.45,29689,MK211377.1
"Bat SARS-like coronavirus isolate Rs4247, complete genome",Bat SARS-like coronavirus,17510,26591,97%,0,81.44,29743,KY417148.1
"Coronavirus BtRs-BetaCoV/YN2018A, complete genome",Coronavirus BtRs-BetaCoV/YN2018A,17486,26493,96%,0,81.43,29698,MK211375.1
"Coronavirus BtRs-BetaCoV/YN2018D, complete genome",Coronavirus BtRs-BetaCoV/YN2018D,17485,26634,96%,0,81.41,30213,MK211378.1
"Bat SARS-like coronavirus isolate Rf4092, complete genome",Bat SARS-like coronavirus,17484,26324,95%,0,81.4,29710,KY417145.1
"Bat SARS-like coronavirus isolate As6526, complete genome",Bat SARS-like coronavirus,17484,26475,97%,0,81.42,29725,KY417142.1
"Bat coronavirus Cp/Yunnan2011, complete genome",Bat coronavirus Cp/Yunnan2011,17439,25864,96%,0,81.37,29452,JX993988.1
"BtRs-BetaCoV/HuB2013, complete genome",BtRs-BetaCoV/HuB2013,17420,26319,96%,0,81.26,29658,KJ473814.1
"Bat coronavirus Rp/Shaanxi2011, complete genome",Bat coronavirus Rp/Shaanxi2011,17293,25906,95%,0,81.12,29484,JX993987.1
"BtRf-BetaCoV/SX2013, complete genome",BtRf-BetaCoV/SX2013,17246,25575,94%,0,81.07,29461,KJ473813.1
"SARS-related bat coronavirus isolate Longquan-140 orf1ab polyprotein, spike glycoprotein, envelope protein, membrane protein, and nucleocapsid protein genes, complete cds",Bat SARS-like coronavirus,17219,27627,97%,0,81.06,29676,KF294457.1
"BtRf-BetaCoV/HeB2013, complete genome",BtRf-BetaCoV/HeB2013,17213,25495,94%,0,81.03,29443,KJ473812.1
"Bat coronavirus isolate Jiyuan-84, complete genome",Bat coronavirus,17189,25675,94%,0,81,29651,KY770860.1
"Coronavirus BtRl-BetaCoV/SC2018, complete genome",Coronavirus BtRl-BetaCoV/SC2018,17161,26012,97%,0,80.98,29648,MK211374.1
"Bat SARS coronavirus HKU3-7, complete genome",Bat SARS coronavirus HKU3-7,17152,26206,97%,0,80.96,29716,GQ153542.1
"Bat SARS coronavirus HKU3-8, complete genome",Bat SARS coronavirus HKU3-8,17147,26139,97%,0,80.95,29681,GQ153543.1
"Bat coronavirus (BtCoV/273/2005), complete genome",Bat CoV 273/2005,17126,25684,95%,0,80.93,29704,DQ648856.1
"Bat SARS coronavirus Rf1, complete genome",Bat SARS CoV Rf1/2004,17126,25694,95%,0,80.93,29709,DQ412042.1
"SARS-related bat coronavirus isolate Jiyuan-331 orf1ab polyprotein gene, complete cds",Bat SARS-like coronavirus,17086,18940,71%,0,80.9,21444,KF294456.1
"Bat SARS coronavirus HKU3-12, complete genome",Bat SARS coronavirus HKU3-12,17075,26131,97%,0,80.86,29704,GQ153547.1
"Mutant Bat SARS coronavirus HKU3 isolate icHKU3-SRBD-MA, complete genome",Bat SARS coronavirus HKU3,17042,26365,97%,0,80.81,29781,MT782115.1
"Mutant Bat SARS coronavirus HKU3 isolate icHKU3-SRBD, complete genome",Bat SARS coronavirus HKU3,17042,26370,97%,0,80.81,29781,MT782114.1
"Recombinant coronavirus clone Bat SARS-CoV, complete sequence",recombinant coronavirus,17042,26171,97%,0,80.81,29750,FJ211859.1
"bat SARS coronavirus HKU3-2, complete genome",Bat SARS coronavirus HKU3-2,17037,26108,97%,0,80.81,29687,DQ084199.1
"Bat SARS coronavirus HKU3-11, complete genome",Bat SARS coronavirus HKU3-11,17035,26091,97%,0,80.84,29695,GQ153546.1
"Bat SARS coronavirus HKU3-5, complete genome",Bat SARS coronavirus HKU3-5,17033,26093,97%,0,80.8,29704,GQ153540.1
"Bat SARS coronavirus HKU3-4, complete genome",Bat SARS coronavirus HKU3-4,17033,26099,97%,0,80.8,29704,GQ153539.1
"Bat SARS coronavirus HKU3-13, complete genome",Bat SARS coronavirus HKU3-13,17031,26047,97%,0,80.83,29677,GQ153548.1
"Bat SARS coronavirus HKU3-1, complete genome",Bat SARS coronavirus HKU3-1,17028,26159,97%,0,80.79,29728,DQ022305.2
"bat SARS coronavirus HKU3-3, complete genome",Bat SARS coronavirus HKU3-3,17028,26143,97%,0,80.79,29711,DQ084200.1
"Bat SARS coronavirus HKU3-10, complete genome",Bat SARS coronavirus HKU3-10,17026,26082,97%,0,80.83,29695,GQ153545.1
"Bat SARS coronavirus HKU3-6, complete genome",Bat SARS coronavirus HKU3-6,17023,26101,97%,0,80.8,29704,GQ153541.1
"Bat SARS coronavirus HKU3-9, complete genome",Bat SARS coronavirus HKU3-9,17022,26078,97%,0,80.82,29695,GQ153544.1
"Bat coronavirus BM48-31/BGR/2008, complete genome",Bat coronavirus BM48-31/BGR/2008,15947,22279,90%,0,80.3,29276,GU190215.1
"Severe acute respiratory syndrome-related coronavirus strain BtKY72, complete genome",Severe acute respiratory syndrome-related coronavirus,15872,22431,93%,0,80.19,29274,KY352407.1
"Bat coronavirus isolate PREDICT/PDF-2386/OTBA40RSV, complete genome",Bat coronavirus,15751,22410,91%,0,79.91,29243,MT726043.1
,,,,,,,,
,,,,,,,,
,,,,,,,,
"		",,,,,,,,
