Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Synthetic construct clone NIBSC_20_138_3 sequence,synthetic construct,1236,1236,50%,0,99.71,7575,MW059034.1
"Pangolin coronavirus isolate PCoV_GX-P4L, complete genome",Pangolin coronavirus,1233,1233,99%,0,80.09,29805,MT040333.1
"Pangolin coronavirus isolate PCoV_GX-P5L, complete genome",Pangolin coronavirus,1229,1229,99%,0,80.01,29806,MT040335.1
"Pangolin coronavirus isolate PCoV_GX-P5E, complete genome",Pangolin coronavirus,1224,1224,99%,0,79.94,29802,MT040336.1
"Pangolin coronavirus isolate PCoV_GX-P2V, complete genome",Pangolin coronavirus,1223,1223,99%,0,79.9,29795,MT072864.1
"Pangolin coronavirus isolate PCoV_GX-P1E, complete genome",Pangolin coronavirus,1216,1216,99%,0,79.8,29801,MT040334.1
"Severe acute respiratory syndrome-related coronavirus isolate H_SC_11 genome assembly, complete genome: monopartite",Severe acute respiratory syndrome-related coronavirus,1133,2094,84%,0,100,29903,HG994860.1
Pangolin coronavirus isolate PCoV_GX-P3B genomic sequence,Pangolin coronavirus,967,1098,87%,0,80.35,29801,MT072865.1
"Pangolin coronavirus isolate MP789, complete genome",Pangolin coronavirus,952,952,93%,0,76.65,29521,MT121216.1
"Pangolin coronavirus isolate cDNA31-S surface glycoprotein (S) gene, complete cds",Pangolin coronavirus,952,952,93%,0,76.65,3798,MT799526.1
"Pangolin coronavirus isolate cDNA20-S surface glycoprotein (S) gene, complete cds",Pangolin coronavirus,952,952,93%,0,76.65,3798,MT799525.1
"Pangolin coronavirus isolate cDNA18-S surface glycoprotein (S) gene, complete cds",Pangolin coronavirus,952,952,93%,0,76.65,3798,MT799524.1
"Pangolin coronavirus isolate cDNA16-S surface glycoprotein (S) gene, complete cds",Pangolin coronavirus,952,952,93%,0,76.65,3798,MT799523.1
"Pangolin coronavirus isolate cDNA8-S surface glycoprotein (S) gene, complete cds",Pangolin coronavirus,952,952,93%,0,76.65,3798,MT799521.1
"Pangolin coronavirus isolate cDNA9-S surface glycoprotein (S) gene, complete cds",Pangolin coronavirus,948,948,93%,0,76.57,3798,MT799522.1
"Recombinant vector AAVCOVID19-3, complete sequence",Recombinant vector AAVCOVID19-3,820,820,99%,0,73.3,6832,MW408786.1
"Recombinant vector AAVCOVID19-1, complete sequence",Recombinant vector AAVCOVID19-1,820,820,99%,0,73.3,7488,MW408785.1
Pangolin coronavirus isolate MP789 genomic sequence,Pangolin coronavirus,809,971,87%,0,85.86,27213,MT084071.1
"Mutant Measles morbillivirus strain MeVvac2-SARS2-S(H), complete genome",Measles morbillivirus,769,769,99%,0,72.53,19800,MW090971.1
"Cloning vector pCDNA3.1.2S, complete sequence",Cloning vector pCDNA3.1.2S,748,748,99%,0,72.15,9209,MT613044.1
"Synthetic construct SARS_CoV_2_ectoCSPP gene, complete cds",synthetic construct,741,741,99%,0,72.19,3771,MT380725.1
"Bat SARS-like coronavirus isolate bat-SL-CoVZC45, complete genome",Bat SARS-like coronavirus,491,491,78%,5.00E-134,70.31,29802,MG772933.1
"Bat SARS-like coronavirus isolate bat-SL-CoVZXC21, complete genome",Bat SARS-like coronavirus,464,464,78%,7.00E-126,69.76,29732,MG772934.1
"SARS coronavirus C029 spike glycoprotein gene, complete cds",SARS coronavirus C029,417,417,85%,9.00E-112,68.27,3768,AY687372.1
"SARS coronavirus isolate CFB/SZ/94/03, complete genome",Severe acute respiratory syndrome-related coronavirus,417,417,85%,9.00E-112,68.53,29739,AY545919.1
"Bat coronavirus isolate PrC31, complete genome",Bat coronavirus,416,416,78%,3.00E-111,68.77,29765,MW703458.1
"SARS coronavirus C028 spike glycoprotein gene, complete cds",SARS coronavirus C028,413,413,85%,4.00E-110,68.44,3768,AY687371.1
"SARS coronavirus C019 spike glycoprotein gene, complete cds",SARS coronavirus C019,413,413,85%,4.00E-110,68.44,3768,AY687369.1
"SARS coronavirus C018 spike glycoprotein gene, complete cds",SARS coronavirus C018,413,413,85%,4.00E-110,68.44,3768,AY687368.1
"SARS coronavirus B040 spike glycoprotein gene, complete cds",SARS coronavirus B040,413,413,85%,4.00E-110,68.44,3768,AY687364.1
"SARS coronavirus B012 spike glycoprotein gene, complete cds",SARS coronavirus B012,413,413,85%,4.00E-110,68.44,3768,AY687359.1
"SARS coronavirus A021 spike glycoprotein gene, complete cds",SARS coronavirus A021,413,413,85%,4.00E-110,68.19,3768,AY687356.1
"SARS coronavirus A013 spike glycoprotein gene, complete cds",SARS coronavirus A013,413,413,85%,4.00E-110,68.44,3768,AY687355.1
"SARS coronavirus B039, complete genome",SARS coronavirus B039,413,413,85%,4.00E-110,68.44,29525,AY686864.1
"SARS coronavirus PC4-241 spike glycoprotein gene, complete cds",SARS coronavirus PC4-241,413,413,85%,4.00E-110,68.44,3768,AY627048.1
"SARS coronavirus PC4-199 spike glycoprotein gene, complete cds",SARS coronavirus PC4-199,413,413,85%,4.00E-110,68.44,3768,AY627047.1
"SARS coronavirus PC4-145 spike glycoprotein gene, complete cds",SARS coronavirus PC4-145,413,413,85%,4.00E-110,68.44,3768,AY627046.1
"SARS coronavirus PC4-137 spike glycoprotein gene, complete cds",SARS coronavirus PC4-137,413,413,85%,4.00E-110,68.44,3768,AY627045.1
"SARS coronavirus PC4-115 spike glycoprotein gene, complete cds",SARS coronavirus PC4-115,413,413,85%,4.00E-110,68.44,3768,AY627044.1
"SARS coronavirus PC4-227, complete genome",SARS coronavirus PC4-227,413,413,85%,4.00E-110,68.44,29728,AY613950.1
"SARS coronavirus PC4-136, complete genome",SARS coronavirus PC4-136,413,413,85%,4.00E-110,68.44,29730,AY613949.1
"SARS coronavirus PC4-127 spike glycoprotein gene, complete cds",SARS coronavirus PC4-127,413,413,85%,4.00E-110,68.44,3768,AY613951.1
"SARS coronavirus civet020, complete genome",SARS coronavirus civet020,413,413,85%,4.00E-110,68.44,29683,AY572038.1
"SARS coronavirus civet019 spike glycoprotein gene, complete cds",SARS coronavirus civet019,413,413,85%,4.00E-110,68.19,3768,AY572037.1
"SARS coronavirus civet014 spike glycoprotein gene, complete cds",SARS coronavirus civet014,413,413,85%,4.00E-110,68.19,3768,AY572036.1
"SARS coronavirus GZ0401, complete genome",SARS coronavirus GZ0401,413,413,85%,4.00E-110,68.44,29730,AY568539.1
"SARS coronavirus isolate HC/GZ/32/03, complete genome",Severe acute respiratory syndrome-related coronavirus,413,413,85%,4.00E-110,68.44,29737,AY545918.1
"SARS coronavirus isolate HC/GZ/81/03, complete genome",Severe acute respiratory syndrome-related coronavirus,413,413,85%,4.00E-110,68.44,29739,AY545917.1
"SARS coronavirus isolate HC/SZ/266/03, complete genome",Severe acute respiratory syndrome-related coronavirus,413,413,85%,4.00E-110,68.44,29721,AY545916.1
"SARS coronavirus isolate HC/SZ/DM1/03, complete genome",Severe acute respiratory syndrome-related coronavirus,413,413,85%,4.00E-110,68.19,29714,AY545915.1
"SARS coronavirus isolate HC/SZ/79/03, complete genome",Severe acute respiratory syndrome-related coronavirus,413,413,85%,4.00E-110,68.19,29723,AY545914.1
"Severe acute respiratory syndrome-related coronavirus Rc-o319 RNA, complete genome",Severe acute respiratory syndrome-related coronavirus,409,409,44%,5.00E-109,74.72,29718,LC556375.1
"SARS coronavirus WF188 spike glycoprotein gene, complete cds",SARS coronavirus WF188,409,409,85%,5.00E-109,68.08,4248,DQ514528.1
"SARS coronavirus SZ1, partial genome",SARS coronavirus SZ1,408,408,85%,5.00E-109,68.1,8439,AY304489.1
"SARS coronavirus SZ16, complete genome",Civet SARS CoV SZ16/2003,408,408,85%,5.00E-109,68.1,29731,AY304488.1
"SARS coronavirus SZ13, partial genome",SARS coronavirus SZ13,408,408,85%,5.00E-109,68.1,8581,AY304487.1
"SARS coronavirus SZ3, complete genome",Civet SARS CoV SZ3/2003,408,408,85%,5.00E-109,68.1,29741,AY304486.1
"SARS coronavirus C025 spike glycoprotein gene, complete cds",SARS coronavirus C025,408,408,85%,5.00E-109,68.1,3768,AY687370.1
"SARS coronavirus B029 spike glycoprotein gene, complete cds",SARS coronavirus B029,408,408,85%,5.00E-109,68.1,3768,AY687361.1
"SARS coronavirus B024 spike glycoprotein gene, complete cds",SARS coronavirus B024,408,408,85%,5.00E-109,68.1,3768,AY687360.1
"SARS coronavirus A030 spike glycoprotein gene, complete cds",SARS coronavirus A030,408,408,85%,5.00E-109,68.1,3768,AY687357.1
"SARS coronavirus A022, complete genome",SARS coronavirus A022,408,408,85%,5.00E-109,68.1,29499,AY686863.1
"SARS coronavirus PC4-205 spike glycoprotein gene, complete cds",SARS coronavirus PC4-205,408,408,85%,5.00E-109,68.36,3768,AY613952.1
"SARS coronavirus civet010, complete genome",SARS coronavirus civet010,408,408,85%,5.00E-109,68.1,29518,AY572035.1
"SARS coronavirus civet007, complete genome",Civet SARS CoV 007/2004,408,408,85%,5.00E-109,68.1,29540,AY572034.1
"SARS coronavirus GD03T0013 spike glycoprotein gene, complete cds",SARS coronavirus GD03T0013,408,408,85%,5.00E-109,68.36,3768,AY525636.1
"SARS coronavirus ES260 spike glycoprotein gene, complete cds",SARS coronavirus ES260,404,404,85%,2.00E-107,68.02,4234,DQ514530.1
"Coronavirus BtRs-BetaCoV/YN2018B, complete genome",Coronavirus BtRs-BetaCoV/YN2018B,403,403,85%,2.00E-107,68.1,30256,MK211376.1
"Bat SARS-like coronavirus WIV1, complete genome",Bat SARS-like coronavirus WIV1,403,403,85%,2.00E-107,68.05,30309,KF367457.1
"Bat SARS-like coronavirus WIV1 spike protein (S) gene, complete cds",Bat SARS-like coronavirus WIV1,403,403,85%,2.00E-107,68.05,3771,KC881007.1
"Bat SARS-like coronavirus Rs3367, complete genome",Bat SARS-like coronavirus Rs3367,403,403,85%,2.00E-107,68.05,29792,KC881006.1
"Bat SARS-like coronavirus isolate Rs9401, complete genome",Bat SARS-like coronavirus,398,398,85%,9.00E-106,67.97,29769,KY417152.1
"Bat SARS-like coronavirus isolate Rs7327, complete genome",Bat SARS-like coronavirus,398,398,85%,9.00E-106,67.97,30307,KY417151.1
"SARS coronavirus ExoN1 isolate P3pp34, complete genome",SARS coronavirus ExoN1,395,395,85%,1.00E-104,67.85,29646,FJ882960.1
"Rhinolophus affinis coronavirus isolate LYRa11, complete genome",Rhinolophus affinis coronavirus,389,389,85%,4.00E-103,67.51,29805,KF569996.1
"Rhinolophus affinis coronavirus isolate LYRa3 spike protein gene, complete cds",Rhinolophus affinis coronavirus,387,387,85%,2.00E-102,67.9,3913,KF569997.1
"Mutant Bat SARS coronavirus HKU3 isolate icHKU3-SRBD, complete genome",Bat SARS coronavirus HKU3,386,497,58%,5.00E-102,73.75,29781,MT782114.1
"Recombinant coronavirus clone Bat-SRBD spike glycoprotein gene, complete cds",recombinant coronavirus,386,497,58%,5.00E-102,73.75,3780,FJ211860.1
"Mutant Bat SARS coronavirus HKU3 isolate icHKU3-SRBD-MA, complete genome",Bat SARS coronavirus HKU3,381,493,58%,7.00E-101,73.59,29781,MT782115.1
"Bat SARS-like coronavirus isolate Rs4874, complete genome",Bat SARS-like coronavirus,380,380,85%,2.00E-100,68.16,30311,KY417150.1
"SARS-like coronavirus WIV16, complete genome",SARS-like coronavirus WIV16,380,380,85%,2.00E-100,68.16,30290,KT444582.1
"Bat SARS-like coronavirus isolate Rs4231, complete genome",Bat SARS-like coronavirus,359,359,86%,8.00E-94,67.67,29782,KY417146.1
,,,,,,,,
,,,,,,,,
,,,,,,,,
"		",,,,,,,,
